Song Name,Artist
Ride,Twenty One Pilots
Welcome to the Black Parade,My Chemical Romance
I Write Sins Not Tragedies,Panic! At the Disco
Mr Blue Sky,Electric Light Orchestra
The Real Slim Shady,Eminem
Thriller,Michael Jackson 
Perfect,Ed Sheeran
Coffee Breath,Sophia Mills
Walking Away,Craig David
High Voltage,Linkin Park
Redecorate,Twenty One Pilots
Sweet tooth,Cavetown
Ode to Sleep,Twenty One Pilots
Smells Like Teen Spirit,Nirvana
Polygraph Eyes,YUNGBLUD
Heathens,Twenty One Pilots
Ungrateful,Central Cee
Seventeen Going Under,Sam Fender
